lat,lon,alt,x,y
32.869561,-117.220497,98.3,-2452858.1957720784,-4768549.052596434
32.869562,-117.220497,98.2,-2452858.129821145,-4768548.924382637
32.869563,-117.220497,98.2,-2452858.102288968,-4768548.870857921
32.869563,-117.220498,98.2,-2452858.185515846,-4768548.828047471
32.869564000000004,-117.220499,98.2,-2452858.241210543,-4768548.731712301
32.869564000000004,-117.220499,98.2,-2452858.241210543,-4768548.731712301
32.869565,-117.220501,98.2,-2452858.380132112,-4768548.592566677
32.869566,-117.220503,97.4,-2452858.211703573,-4768547.855908463
32.869567,-117.220502,96.9,-2452857.9088507276,-4768547.471748836
32.869568,-117.220501,96.8,-2452857.7596729365,-4768547.386345497
32.869568,-117.220498,96.6,-2452857.4331548647,-4768547.365398673
32.86957,-117.220494,96.5,-2452857.006764358,-4768547.354901913
32.869572,-117.220491,96.3,-2452856.625181969,-4768547.226905613
32.869572999999995,-117.22048999999998,96.3,-2452856.5144229485,-4768547.216191319
32.869572999999995,-117.220488,96.2,-2452856.30955051,-4768547.227123083
32.869572999999995,-117.220487,96.2,-2452856.2263236595,-4768547.269933501
32.869572,-117.220485,96.1,-2452856.0489833853,-4768547.334389972
32.869572,-117.220484,96.1,-2452855.965756533,-4768547.377200386
32.869571,-117.220483,96.0,-2452855.8716431092,-4768547.398846431
32.86957,-117.220482,96.0,-2452855.815948416,-4768547.495181559
32.869569,-117.220482,96.1,-2452855.881899309,-4768547.623395358
32.869569,-117.220482,96.1,-2452855.881899309,-4768547.623395358
32.869568,-117.220482,96.1,-2452855.9094314673,-4768547.676920072
32.869567,-117.220482,96.1,-2452855.9369636253,-4768547.730444784
32.869566,-117.220481,96.1,-2452855.8812689222,-4768547.826779908
32.869566,-117.220481,96.1,-2452855.8812689222,-4768547.826779908
32.869565,-117.22048,96.0,-2452855.7871554834,-4768547.848425939
32.869564000000004,-117.22048,96.0,-2452855.8146876367,-4768547.901950647
32.869563,-117.22048,95.9,-2452855.803801056,-4768547.880786264
32.869561,-117.220479,95.9,-2452855.7756384946,-4768548.030646083
32.86956,-117.220479,95.8,-2452855.7647519093,-4768548.009481689
